"restName"	"Address"	"Phone"	"webSite"	"openingDays"	"Takes_Reservations"	"Delivery"	"Take_out"	"Accepts_Credit_Cards"	"Accepts_Apple_Pay"	"Accepts_Android_Pay"	"Accepts_Bitcoin"	"Good_For"	"Parking"	"Bike_Parking"	"Good_for_Kids"	"Good_for_Groups"	"Attire"	"Ambience"	"Noise_Level"	"Alcohol"	"Outdoor_Seating"	"Wi_Fi"	"Has_TV"	"Good_for_Kids.1"	"Caters"	"Gender_Neutral_Restrooms"	"ContactPage"	"CustomerEmail"
"La Santaneca"	"3781 Mission StSan Francisco, CA 94110"	"(415) 648-1034"	NA	" Mon , Closed Tue , 10:30 am - 11:00 pm Wed , 10:30 am - 11:00 pm Thu , 10:30 am - 11:00 pm Fri , 10:30 am - 12:00 am Sat , 10:30 am - 12:00 am Sun , 10:00 am - 11:00 pm"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Lunch, Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"No"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	NA	NA
"La Stazione Coffee & Wine Bar"	"701 Pennsylvania AveSan Francisco, CA 94107"	"(415) 944-9613"	"http://lastazionesf.com"	" Mon , 6:00 am - 6:00 pm Tue , 6:00 am - 6:00 pm Wed , 6:00 am - 6:00 pm Thu , 6:00 am - 6:00 pm Fri , 6:00 am - 6:00 pm Sat , 9:00 am - 6:00 pm Sun , 9:00 am - 6:00 pm"	"No"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Breakfast, Lunch"	"Street"	"Yes"	"No"	"No"	"Casual"	"Casual"	"Quiet"	"Beer & Wine Only"	"Yes"	"Free"	"No"	"No"	"No"	NA	"mailto://contact@lastazionesf.com?subject=Catering Inquiry"	"mailto://contact@lastazionesf.com?subject=Catering Inquiry"
"Las Tinajas Restaurant"	"2338 Mission StSan Francisco, CA 94110"	"(415) 695-9933"	NA	" Mon , 10:00 am - 4:30 pm Tue , 10:00 am - 4:30 pm Wed , 10:00 am - 4:30 pm Thu , 10:00 am - 4:30 pm Fri , 10:00 am - 4:30 pm Sat , 10:00 am - 4:30 pm Sun , Closed"	"No"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Lunch"	"Street"	"No"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"No"	"No"	"No"	"Yes"	"Yes"	NA	NA	NA
"La Taqueria"	"2889 Mission StSan Francisco, CA 94110"	"(415) 285-7117"	NA	" Mon , Closed Tue , 11:00 am - 9:00 pm Wed , 11:00 am - 9:00 pm Thu , 11:00 am - 9:00 pm Fri , 11:00 am - 9:00 pm Sat , 11:00 am - 9:00 pm Sun , 11:00 am - 8:00 pm"	"No"	"No"	"Yes"	"No"	"No"	"No"	NA	"Lunch, Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"Yes"	"No"	"No"	"Yes"	"No"	NA	NA	NA
"La Torta Gorda"	"2833 24th StSan Francisco, CA 94110"	"(415) 642-9600"	"http://latortagorda.net"	" Mon , 6:30 am - 8:00 pm Tue , 6:30 am - 8:00 pm Wed , 6:30 am - 8:00 pm Thu , 6:30 am - 8:00 pm Fri , 6:30 am - 8:00 pm Sat , 8:00 am - 4:00 pm Sun , 8:00 am - 4:00 pm"	"No"	"Yes"	"Yes"	"Yes"	"No"	NA	NA	NA	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"No"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	NA	"http://latortagorda.net"	NA
"La Traviata"	"2854 Mission StSan Francisco, CA 94110"	"(415) 282-0500"	"http://latraviatasf.com"	" Mon , 4:30 pm - 10:30 pm Tue , 4:30 pm - 10:30 pm Wed , 4:30 pm - 10:30 pm Thu , 4:30 pm - 10:30 pm Fri , 4:30 pm - 10:30 pm Sat , 4:30 pm - 10:30 pm Sun , 4:30 pm - 10:30 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Intimate, Romantic"	"Quiet"	"Beer & Wine Only"	"No"	"No"	"No"	"Yes"	"No"	"Yes"	"http://latraviatasf.comhttp://www.rolexreplicaa.co.uk"	NA
"Lava Java"	"852 Stanyan StSan Francisco, CA 94117"	"(415) 751-7375"	NA	" Mon , 6:30 am - 6:00 pm Tue , 6:30 am - 6:00 pm Wed , 6:30 am - 6:00 pm Thu , 6:30 am - 6:00 pm Fri , 6:30 am - 6:00 pm Sat , 6:30 am - 6:00 pm Sun , 7:00 am - 6:00 pm"	"No"	"No"	"Yes"	"No"	"No"	NA	NA	NA	"Street"	"Yes"	"Yes"	"No"	"Casual"	"Casual"	"Quiet"	"No"	"Yes"	"Free"	"No"	"Yes"	"No"	NA	NA	NA
"Lavash Restaurant"	"511 Irving StSan Francisco, CA 94122"	"(415) 664-5555"	"http://lavashsf.com"	" Mon , Closed Tue , 11:30 am - 3:00 pm5:00 pm - 10:00 pm Wed , 11:30 am - 3:00 pm5:00 pm - 10:00 pm Thu , 11:30 am - 3:00 pm5:00 pm - 10:00 pm Fri , 11:30 am - 3:00 pm5:00 pm - 10:00 pm Sat , 11:30 am - 10:00 pm Sun , 11:30 am - 9:00 pm"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	"No"	"No"	"Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Intimate"	"Average"	"Beer & Wine Only"	"Yes"	"No"	"No"	"Yes"	"Yes"	"Yes"	"http://lavashsf.comhttps://www.google.co.ve/maps/place/511+Irving+St,+San+Francisco,+CA+94122,+EE.+UU./@37.76404,-122.4633615,17z/data=!3m1!4b1!4m2!3m1!1s0x8085875bf734ed7b:0x28ee59f507bf0e49"	NA
"Lazy Bear"	"3416 19th StSan Francisco, CA 94110"	"(415) 874-9921"	"http://lazybearsf.com"	" Mon , Closed Tue , 6:00 pm - 11:00 pm Wed , 6:00 pm - 11:00 pm Thu , 6:00 pm - 11:00 pm Fri , 6:00 pm - 11:00 pm Sat , 6:00 pm - 11:00 pm Sun , Closed"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	NA	"Dinner"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Hipster"	"Average"	"Full Bar"	"No"	"No"	"No"	"No"	"No"	"Yes"	"http://www.lazybearsf.com/contact-us/"	NA
"Le Cafe du Soleil"	"200 Fillmore StSan Francisco, CA 94102"	"(415) 934-8637"	NA	" Mon , 7:00 am - 9:00 pm Tue , 7:00 am - 9:00 pm Wed , 7:00 am - 9:00 pm Thu , 7:00 am - 9:00 pm Fri , 7:00 am - 9:00 pm Sat , 7:00 am - 9:00 pm Sun , 8:00 am - 9:00 pm"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	"No"	"Breakfast, Lunch"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"Yes"	"Free"	"No"	"Yes"	"No"	"Yes"	NA	NA
"L’emigrante Wine Bar & Bistro"	"2199 Mission StSan Francisco, CA 94110"	"(415) 863-4777"	"http://lemigrante.com"	" Mon , 5:00 pm - 11:00 pm Tue , 5:00 pm - 11:00 pm Wed , 5:00 pm - 11:00 pm Thu , 5:00 pm - 11:00 pm Fri , 4:00 pm - 12:00 am Sat , 4:00 pm - 12:00 am Sun , 4:00 pm - 11:00 pm"	"No"	"No"	"No"	"Yes"	"No"	NA	NA	"Dinner, Dessert"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"Yes"	"No"	"No"	"No"	"No"	NA	"http://lemigrante.com"	NA
"Leopold’s"	"2400 Polk StSan Francisco, CA 94109"	"(415) 474-2000"	"http://leopoldssf.com"	" Mon , 5:30 pm - 9:30 pm Tue , 5:30 pm - 10:00 pm Wed , 5:30 pm - 10:00 pm Thu , 5:30 pm - 10:00 pm Fri , 5:30 pm - 10:00 pm Sat , 12:00 pm - 2:30 pm5:30 pm - 10:00 pm Sun , 12:00 pm - 2:30 pm5:30 pm - 9:30 pm"	"Yes"	"No"	"Yes"	"Yes"	NA	NA	NA	"Dinner"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Casual"	"Very Loud"	"Beer & Wine Only"	"Yes"	"No"	"No"	"No"	"No"	"Yes"	"http://leopoldssf.com/contact.html"	"mailto:inquiries@leopoldssf.com"
"Le P’tit Laurent"	"699 Chenery StSan Francisco, CA 94131"	"(415) 334-3235"	"http://leptitlaurent.net"	" Mon , 5:30 pm - 9:30 pm Tue , 5:30 pm - 9:30 pm Wed , 5:30 pm - 9:30 pm Thu , 5:30 pm - 9:30 pm Fri , 5:30 pm - 10:30 pm Sat , 5:30 pm - 10:30 pm Sun , 5:30 pm - 9:30 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	NA	NA	NA	"Street"	"Yes"	"No"	"No"	"Casual"	NA	"Average"	"Full Bar"	"No"	"No"	"No"	"No"	"No"	"Yes"	"http://leptitlaurent.netcms.php?link=Contact_info"	NA
"Lers Ros"	"730 Larkin StSan Francisco, CA 94109"	"(415) 931-6917"	"http://lersros.com"	" Mon , 11:00 am - 4:00 pm5:00 pm - 12:00 am Tue , 11:00 am - 4:00 pm5:00 pm - 12:00 am Wed , 11:00 am - 4:00 pm5:00 pm - 12:00 am Thu , 11:00 am - 4:00 pm5:00 pm - 12:00 am Fri , 11:00 am - 4:00 pm5:00 pm - 12:00 am Sat , 11:00 am - 4:00 pm5:00 pm - 12:00 am Sun , 11:00 am - 4:00 pm5:00 pm - 12:00 am"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	NA	NA	"Dinner"	"Garage, Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"http://lersros.com/make-reservation/"	NA
"Le Soleil"	"133 Clement StSan Francisco, CA 94118"	"(415) 668-4848"	"http://lesoleilsf.com"	" Mon , 11:30 am - 3:00 pm5:00 pm - 9:30 pm Tue , Closed Wed , 11:30 am - 3:00 pm5:00 pm - 9:30 pm Thu , 11:30 am - 3:00 pm5:00 pm - 9:30 pm Fri , 11:30 am - 3:00 pm5:00 pm - 10:00 pm Sat , 11:30 am - 3:00 pm5:00 pm - 10:00 pm Sun , 11:30 am - 3:00 pm5:00 pm - 9:30 pm"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	NA	NA	"Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"No"	"No"	"No"	"Yes"	"Yes"	NA	"http://lesoleilsf.com"	NA
"Libby Jane Cafe"	"644 Polk StSan Francisco, CA 94109"	"(415) 926-2540"	"http://libbyjane.com"	" Mon , 7:30 am - 2:30 pm Tue , 7:30 am - 2:30 pm Wed , 7:30 am - 2:30 pm Thu , 7:30 am - 2:30 pm Fri , 7:30 am - 2:30 pm Sat , 9:00 am - 2:00 pm Sun , 9:00 am - 2:00 pm"	"No"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Breakfast, Lunch"	"Street"	"Yes"	"Yes"	"No"	"Casual"	"Casual"	"Quiet"	"No"	"No"	"No"	"No"	"Yes"	"No"	NA	"https://www.instagram.com/libbyjanecafe/"	NA
"Liholiho Yacht Club"	"871 Sutter StSan Francisco, CA 94109"	"(415) 440-5446"	"http://lycsf.com"	" Mon , 5:00 pm - 10:30 pm Tue , 5:00 pm - 10:30 pm Wed , 5:00 pm - 10:30 pm Thu , 5:00 pm - 10:30 pm Fri , 5:00 pm - 11:00 pm Sat , 5:00 pm - 11:00 pm Sun , Closed"	"Yes"	"No"	"No"	"Yes"	"No"	"Yes"	"No"	"Dinner"	"Garage, Street"	"No"	"No"	"Yes"	"Casual"	"Casual, Trendy"	"Average"	"Full Bar"	"No"	"No"	"No"	"No"	"No"	"Yes"	"http://lycsf.com/contact"	NA
"Limón Rotisserie"	"1001 S Van Ness AveSan Francisco, CA 94110"	"(415) 821-2134"	"http://limonrotisserie.com"	" Mon , 11:00 am - 10:00 pm Tue , 11:00 am - 10:00 pm Wed , 11:00 am - 10:00 pm Thu , 11:00 am - 10:00 pm Fri , 11:00 am - 10:30 pm Sat , 10:00 am - 10:30 pm Sun , 10:00 am - 10:00 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Full Bar"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"http://limonrotisserie.com"	NA
"Limón Rotisserie"	"524 Valencia StSan Francisco, CA 94110"	"(415) 252-0918"	"http://limonrotisserie.com"	" Mon , 11:00 am - 10:00 pm Tue , 11:00 am - 10:00 pm Wed , 11:00 am - 10:00 pm Thu , 11:00 am - 10:00 pm Fri , 11:00 am - 11:00 pm Sat , 10:00 am - 11:00 pm Sun , 10:00 am - 10:00 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Dinner"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Trendy"	"Loud"	"Full Bar"	"No"	"No"	"Yes"	"No"	"Yes"	NA	"http://limonrotisserie.com"	NA
"Lime Tree Southeast Asian Kitchen"	"450 Irving StSan Francisco, CA 94122"	"(415) 665-1415"	NA	" Mon , Closed Tue , 11:00 am - 3:00 pm5:00 pm - 9:30 pm Wed , 11:00 am - 3:00 pm5:00 pm - 9:30 pm Thu , 11:00 am - 3:00 pm5:00 pm - 9:30 pm Fri , 11:00 am - 3:00 pm5:00 pm - 9:30 pm Sat , 12:00 pm - 9:30 pm Sun , 12:00 pm - 9:00 pm"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Lunch, Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"No"	"No"	"No"	"No"	"Yes"	"No"	"Yes"	NA	NA
"Lime Tree Southeast Asian Kitchen"	"836 Clement StSan Francisco, CA 94118"	"(415) 831-8811"	NA	" Mon , Closed Tue , 11:00 am - 3:00 pm5:00 pm - 9:30 pm Wed , 11:00 am - 3:00 pm5:00 pm - 9:30 pm Thu , 11:00 am - 3:00 pm5:00 pm - 9:30 pm Fri , 11:00 am - 3:00 pm5:00 pm - 9:30 pm Sat , 12:00 pm - 9:30 pm Sun , 12:00 pm - 9:30 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Lunch, Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"No"	"No"	"No"	"No"	"Yes"	"Yes"	"Yes"	NA	NA
"Liquor Express & Deli"	"4715 Geary BlvdSan Francisco, CA 94118"	"(415) 666-3534"	NA	" Mon , 9:00 am - 10:00 pm Tue , 9:00 am - 10:00 pm Wed , 9:00 am - 10:00 pm Thu , 9:00 am - 10:00 pm Fri , 9:00 am - 2:00 pm Sat , 9:00 am - 2:00 pm Sun , Closed"	"No"	"No"	"Yes"	"Yes"	NA	NA	NA	"Brunch, Lunch, Dinner"	"Street"	"Yes"	"Yes"	"No"	"Casual"	"Casual"	"Quiet"	"Full Bar"	"No"	"No"	"Yes"	"Yes"	"No"	NA	NA	NA
"Lite Bite"	"1796 Union StSan Francisco, CA 94123"	"(415) 931-5483"	"http://litebite.com"	" Mon , 10:00 am - 8:15 pm Tue , 10:00 am - 8:15 pm Wed , 10:00 am - 8:15 pm Thu , 10:00 am - 8:15 pm Fri , 10:00 am - 7:00 pm Sat , 10:00 am - 7:00 pm Sun , 10:00 am - 6:30 pm"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	NA	"Lunch, Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Quiet"	"No"	"No"	NA	"No"	"Yes"	"Yes"	"Yes"	"http://litebite.com/contact-us/"	NA
"Little Baobab Pizza"	"3380 19th StSan Francisco, CA 94110"	"(415) 643-3558"	"http://bissapbaobab.com"	" Mon , Closed Tue , 4:00 pm - 12:00 am Wed , 4:00 pm - 12:00 am Thu , 4:00 pm - 2:00 am Fri , 4:00 pm - 2:00 am Sat , 4:00 pm - 2:00 am Sun , 4:00 pm - 12:00 am"	"Yes"	"No"	"Yes"	"No"	"No"	NA	NA	"Dinner"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Casual"	"Average"	"No"	"No"	"No"	"Yes"	"No"	"Yes"	"Yes"	"http://bissapbaobab.com/contact/"	"mailto:eventinfo@bissapbaobab.com"
"Ada Street"	"1664 N Ada StChicago, IL 60642"	"(773) 697-7069"	"http://adastreetchicago.com"	" Mon , Closed Tue , 5:30 pm - 10:00 pm Wed , 5:30 pm - 10:00 pm Thu , 5:30 pm - 10:00 pm Fri , 5:30 pm - 12:00 am Sat , 5:30 pm - 12:00 am Sun , 5:30 pm - 10:00 pm"	"Yes"	"No"	"No"	"Yes"	NA	NA	"No"	NA	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Trendy"	"Average"	"Full Bar"	"Yes"	"No"	"No"	"No"	"No"	NA	"https://www.adastreetchicago.com/contact/"	"mailto:adastreet@dmkrestaurants.com"
"Little Heaven Deli"	"2348 Mission StSan Francisco, CA 94110"	"(415) 824-1293"	NA	" Mon , 12:00 pm - 7:00 pm Tue , Closed Wed , 12:00 pm - 7:00 pm Thu , 12:00 pm - 7:00 pm Fri , 12:00 pm - 7:00 pm Sat , 10:00 am - 7:00 pm Sun , 10:00 am - 5:00 pm"	"No"	"Yes"	"Yes"	"Yes"	"No"	"No"	NA	"Brunch, Lunch, Dessert"	"Street"	"Yes"	"Yes"	"No"	"Casual"	"Casual"	"Average"	"No"	"No"	"Free"	"No"	"Yes"	"No"	NA	NA	NA
"Little Nepal"	"925 Cortland AveSan Francisco, CA 94110"	"(415) 643-3881"	"http://littlenepalsf.com"	" Mon , Closed Tue , 5:00 pm - 10:00 pm Wed , 5:00 pm - 10:00 pm Thu , 5:00 pm - 10:00 pm Fri , 5:00 pm - 10:00 pm Sat , 5:00 pm - 10:00 pm Sun , 5:00 pm - 10:00 pm"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	NA	NA	NA	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual, Intimate"	"Quiet"	"Beer & Wine Only"	"No"	"No"	"No"	"Yes"	"Yes"	NA	"http://littlenepalsf.comcontact-us.html#Contact_Us"	NA
"Little Star Pizza"	"846 Divisadero StSan Francisco, CA 94117"	"(415) 441-1118"	"http://littlestarpizza.com"	" Mon , 5:00 pm - 9:30 pm Tue , 5:00 pm - 9:30 pm Wed , 5:00 pm - 9:30 pm Thu , 5:00 pm - 9:30 pm Fri , 4:00 pm - 10:30 pm Sat , 3:00 pm - 10:30 pm Sun , 3:00 pm - 9:30 pm"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	"No"	"Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"http://www.littlestarsolano.com/"	NA
"Little Star Pizza Valencia"	"400 Valencia StSan Francisco, CA 94103"	"(415) 551-7827"	"http://littlestarvalencia.com"	" Mon , 5:00 pm - 10:00 pm Tue , 5:00 pm - 10:00 pm Wed , 12:00 pm - 10:00 pm Thu , 12:00 pm - 10:00 pm Fri , 12:00 pm - 11:00 pm Sat , 12:00 pm - 10:00 pm Sun , 11:30 am - 10:00 pm"	"No"	NA	"Yes"	"Yes"	"No"	"No"	NA	"Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"No"	"No"	"No"	"Yes"	"Yes"	"Yes"	"http://littlestarvalencia.com/contact/"	"mailto:valencia@thestarpizza.com"
"Little Vietnam Cafe"	"309 6th AveSan Francisco, CA 94118"	"(415) 876-0283"	NA	" Mon , 9:00 am - 6:00 pm Tue , Closed Wed , 9:00 am - 6:00 pm Thu , 9:00 am - 6:00 pm Fri , 9:00 am - 6:00 pm Sat , 9:00 am - 6:00 pm Sun , 9:00 am - 6:00 pm"	"No"	"No"	"Yes"	"No"	"No"	"No"	NA	"Lunch"	"Street"	"Yes"	"Yes"	"No"	"Casual"	"Casual"	"Average"	"No"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	NA	NA	NA
"Live Sushi Bar"	"2001 17th StSan Francisco, CA 94103"	"(415) 861-8610"	"http://livesushibar.com"	" Mon , 11:00 am - 2:30 pm5:00 pm - 10:30 pm Tue , 11:00 am - 2:30 pm5:00 pm - 10:30 pm Wed , 11:00 am - 2:30 pm5:00 pm - 10:30 pm Thu , 11:00 am - 2:30 pm5:00 pm - 10:30 pm Fri , 11:00 am - 2:30 pm5:00 pm - 11:00 pm Sat , 5:00 pm - 11:00 pm Sun , 5:00 pm - 10:30 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"No"	"No"	"No"	"Yes"	"Yes"	NA	"http://livesushibar.com/contact/"	NA
"Locanda"	"557 Valencia StSan Francisco, CA 94110"	"(415) 863-6800"	"http://locandasf.com"	" Mon , Closed Tue , Closed Wed , 5:30 pm - 10:00 pm Thu , 5:30 pm - 10:00 pm Fri , 5:30 pm - 11:00 pm Sat , 10:30 am - 2:00 pm5:30 pm - 11:00 pm Sun , 10:30 am - 2:00 pm5:30 pm - 10:00 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Dinner"	"Valet, Street"	"Yes"	"No"	"Yes"	"Casual"	"Trendy"	"Average"	"Full Bar"	"No"	"No"	"No"	"No"	"No"	"Yes"	"http://visitor.r20.constantcontact.com/d.jsp?llr=wpv9audab&p=oi&m=1103404815862"	"mailto:LOCANDA@LOCANDASF.COM"
"Loló"	"974 Valencia StSan Francisco, CA 94110"	"(415) 643-5656"	"http://lolosf.com"	" Mon , 5:30 pm - 11:00 pm Tue , 5:30 pm - 11:00 pm Wed , 5:30 pm - 11:00 pm Thu , 5:30 pm - 11:00 pm Fri , 5:30 pm - 1:00 am Sat , 11:30 am - 4:00 pm5:30 pm - 1:00 am Sun , 11:00 am - 4:00 pm"	"Yes"	"No"	"No"	"Yes"	"No"	"Yes"	NA	"Dinner"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Hipster"	"Average"	"Full Bar"	"No"	"No"	"No"	"No"	"Yes"	"Yes"	"http://www.petertschann.com"	NA
"Lolinda"	"2518 Mission StSan Francisco, CA 94110"	"(415) 550-6970"	"http://lolindasf.com"	" Mon , 5:30 pm - 11:00 pm Tue , 5:30 pm - 11:00 pm Wed , 5:30 pm - 11:00 pm Thu , 5:30 pm - 11:00 pm Fri , 5:30 pm - 12:00 am Sat , 5:30 pm - 12:00 am Sun , 5:30 pm - 11:00 pm"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	NA	"Dinner"	"Valet, Street"	"Yes"	"No"	"Yes"	"Casual"	"Trendy"	"Loud"	"Full Bar"	"No"	"No"	"No"	"No"	"No"	NA	"http://lolindasf.com/pages/contact-3/"	NA
"Lord George"	"555 2nd StSan Francisco, CA 94107"	"(415) 660-7633"	"http://thelordgeorge.com"	" Mon , 4:00 pm - 12:00 am Tue , 4:00 pm - 12:00 am Wed , 4:00 pm - 12:00 am Thu , 4:00 pm - 12:00 am Fri , 11:30 am - 2:00 am Sat , 11:30 am - 2:00 am Sun , 11:30 am - 10:00 pm"	"No"	"No"	"No"	"Yes"	"No"	"No"	"No"	"Dinner, Late Night"	"Garage, Street"	"Yes"	"No"	"Yes"	"Casual"	"Trendy"	"Average"	"Full Bar"	"No"	"Free"	"Yes"	"No"	"Yes"	"Yes"	"http://thelordgeorge.com/info/"	NA
"Los Panchos"	"3206 Mission StSan Francisco, CA 94110"	"(415) 285-1033"	NA	" Mon , 11:00 am - 2:30 am Tue , 11:00 am - 2:30 am Wed , 11:00 am - 2:30 am Thu , 11:00 am - 2:30 am Fri , 11:00 am - 3:30 am Sat , 11:00 am - 3:30 am Sun , 11:00 am - 2:30 am"	"No"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Dinner, Late Night"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"No"	"No"	"Yes"	"Yes"	"No"	"Yes"	NA	NA
"Louie’s Gen-Gen Room"	"871 Sutter StSan Francisco, CA 94109"	"(415) 440-5446"	"http://liholihoyachtclub.com/gengen"	" Mon , 5:00 pm - 10:30 pm Tue , 5:00 pm - 10:30 pm Wed , 5:00 pm - 10:30 pm Thu , 5:00 pm - 10:30 pm Fri , 5:00 pm - 11:00 pm Sat , 5:00 pm - 11:00 pm Sun , Closed"	"Yes"	"No"	"No"	"Yes"	NA	NA	NA	NA	"Street"	"Yes"	"No"	"No"	"Casual"	"Casual, Trendy, Intimate"	"Loud"	"Full Bar"	"No"	"No"	"No"	"No"	NA	"Yes"	"http://liholihoyachtclub.com/contact"	NA
"Lou’s Cafe"	"5017 Geary BlvdSan Francisco, CA 94118"	"(415) 379-4429"	"http://louscafesf.com"	" Mon , 8:00 am - 7:00 pm Tue , 8:00 am - 7:00 pm Wed , 8:00 am - 7:00 pm Thu , 8:00 am - 7:00 pm Fri , 8:00 am - 7:00 pm Sat , 8:00 am - 4:00 pm Sun , Closed"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Lunch"	"Street"	"Yes"	"Yes"	"No"	"Casual"	"Casual"	"Average"	"No"	"Yes"	"Free"	"Yes"	"Yes"	"Yes"	"Yes"	"http://louscafesf.com?page/404156/contact-us"	NA
"Lou’s Cafe"	"1508 Taraval StSan Francisco, CA 94116"	"(415) 682-4083"	"http://louscafesf.com"	" Mon , 9:00 am - 7:00 pm Tue , 9:00 am - 7:00 pm Wed , 9:00 am - 7:00 pm Thu , 9:00 am - 7:00 pm Fri , 9:00 am - 7:00 pm Sat , 9:00 am - 4:00 pm Sun , Closed"	"No"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Brunch, Lunch"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"No"	"No"	"Free"	"Yes"	"Yes"	"Yes"	"Yes"	"http://louscafesf.com?page/404156/contact-us"	NA
"Lou’s Cafe"	"100 Pine StSte 102San Francisco, CA 94111"	"(415) 283-4777"	"http://louscafesf.com"	" Mon , 7:00 am - 3:00 pm Tue , 7:00 am - 3:00 pm Wed , 7:00 am - 3:00 pm Thu , 7:00 am - 3:00 pm Fri , 7:00 am - 3:00 pm Sat , Closed Sun , Closed"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Breakfast, Lunch"	"Street"	"No"	"Yes"	"No"	"Casual"	"Casual"	"Average"	"No"	"Yes"	"No"	"No"	"Yes"	"Yes"	NA	"http://louscafesf.com?page/404156/contact-us"	NA
"Lovejoy’s Tea Room"	"1351 Church StSan Francisco, CA 94114"	"(415) 648-5895"	"http://lovejoystearoom.com"	" Mon , Closed Tue , Closed Wed , 11:00 am - 6:00 pm Thu , 11:00 am - 6:00 pm Fri , 11:00 am - 6:00 pm Sat , 11:00 am - 6:00 pm Sun , 11:00 am - 6:00 pm"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	NA	"Brunch, Lunch"	"Street"	"No"	"Yes"	"Yes"	"Casual"	NA	"Average"	"No"	"No"	"No"	"No"	"Yes"	"Yes"	"Yes"	"http://lovejoystearoom.com"	NA
